epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,192.4,1.55687,1.19761,0.00666,0.64196,0.60928,0.63605,0.36189,1.62209,1.39257,0.00964,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
64,195.358,1.5555,1.14275,0.00712,0.72146,0.56557,0.65328,0.37411,1.65495,1.31173,0.00972,0.0290644,0.00968815,0.0290644,0.00968815,0.0290644,0.00968815,0.0290644,0.00968815
65,198.293,1.52593,1.1406,0.00706,0.68753,0.56749,0.63261,0.36832,1.62384,1.31709,0.00966,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
66,201.267,1.54381,1.13592,0.00682,0.70781,0.5881,0.64153,0.36738,1.65969,1.32149,0.00967,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825
67,204.238,1.58175,1.15508,0.0068,0.66783,0.62451,0.63662,0.36364,1.64351,1.31566,0.00973,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
68,207.161,1.55983,1.13034,0.00679,0.69484,0.61071,0.6504,0.36957,1.6243,1.29857,0.00952,0.029005,0.00966835,0.029005,0.00966835,0.029005,0.00966835,0.029005,0.00966835
69,210.091,1.59254,1.19975,0.00711,0.67923,0.61552,0.64762,0.37102,1.61882,1.28268,0.00948,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
70,213.022,1.52345,1.1205,0.00684,0.64742,0.64266,0.66542,0.38224,1.60629,1.26056,0.00938,0.0289754,0.00965845,0.0289754,0.00965845,0.0289754,0.00965845,0.0289754,0.00965845
71,215.971,1.53635,1.11984,0.00687,0.7244,0.60668,0.6601,0.36882,1.64716,1.27043,0.00958,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
72,218.952,1.5321,1.1086,0.00693,0.70769,0.62382,0.65465,0.37074,1.62944,1.2903,0.00951,0.0289456,0.00964855,0.0289456,0.00964855,0.0289456,0.00964855,0.0289456,0.00964855
73,221.89,1.5467,1.11836,0.00684,0.63711,0.62237,0.64972,0.36084,1.63996,1.27346,0.0097,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
74,224.839,1.52915,1.10401,0.00651,0.64159,0.65609,0.67453,0.36405,1.62171,1.30615,0.00941,0.0289159,0.00963865,0.0289159,0.00963865,0.0289159,0.00963865,0.0289159,0.00963865
75,227.773,1.51197,1.07387,0.00681,0.69093,0.65514,0.67943,0.37605,1.64594,1.22524,0.00969,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
76,230.684,1.5337,1.085,0.00686,0.74597,0.606,0.67092,0.37219,1.66018,1.24848,0.00959,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
